女流棋士番号,女流棋士名,所属,生年月日,女流３級,女流２級,女流１級,女流初段,女流二段,女流三段,女流四段,女流五段,女流六段,女流七段,引退日,逝去日,データベース
1,関根紀代子,JSA,1940-12-15,,,,,1974-10-31,1980-02-08,1988-11-17,2009-03-18,2011-09-08,,2011-08-31,,https://www.shogi.or.jp/player/lady/1.html
2,谷川治恵,JSA,1954-02-09,,,1976-09-23,1978-09-10,1981-03-19,1989-05-22,2000-06-28,2011-04-01,,,2002-04-30,,https://www.shogi.or.jp/player/lady/2.html
3,森安多恵子,JSA,1948-05-05,,,1976-09-23,,1976-11-26,1989-05-22,2012-04-01,,,,2012-03-31,2020-08-02,https://www.shogi.or.jp/player/lady/3.html
4,宇治正子,JSA,1948-01-31,,1978-05-27,1980-02-26,1989-03-15,2000-04-01,2006-04-01,,,,,2004-12-31,,
5,長沢千和子,JSA,1964-06-18,,1979-08-01,,1980-02-26,1984-04-07,1989-05-22,2000-04-01,2024-11-11,,,,,https://www.shogi.or.jp/player/lady/5.html
6,山田久美,JSA,1967-01-06,,1982-04-20,,1983-04-01,1990-02-28,2000-04-01,2014-09-29,,,,,,https://www.shogi.or.jp/player/lady/6.html
7,清水市代,JSA,1969-01-09,,1985-04-01,,1986-01-17,1987-09-21,1988-02-08,1992-04-01,1995-04-01,2000-10-01,2020-04-01,,,https://www.shogi.or.jp/player/lady/7.html
8,高群佐知子,JSA,1971-04-01,1986-03-01,,,1987-04-01,1994-03-22,2000-06-30,2018-01-21,,,,2020-03-31,,https://www.shogi.or.jp/player/lady/8.html
9,斎田晴子,JSA,1966-12-04,1986-04-01,,1987-04-01,1988-04-01,1991-03-20,1995-04-01,2001-02-27,2011-06-09,,,2025-07-07,,https://www.shogi.or.jp/player/lady/9.html
10,石高澄恵,JSA,1966-09-27,1987-03-01,,1989-03-01,1992-02-26,2000-04-01,2025-04-10,,,,,,,https://www.shogi.or.jp/player/lady/10.html
11,植村真理,JSA,1969-03-16,1988-03-01,,1989-04-01,1990-04-01,1991-04-01,2003-05-21,,,,,2015-03-31,,https://www.shogi.or.jp/player/lady/11.html
12,真田彩子,JSA,1972-08-13,,1991-03-01,1992-04-01,1997-05-29,2003-04-09,2021-04-01,,,,,2020-03-31,,https://www.shogi.or.jp/player/lady/12.html
13,高橋和,JSA,1976-06-17,,1991-03-01,1992-04-01,1994-04-01,2000-04-01,2006-04-01,,,,,2005-02-09,,https://www.shogi.or.jp/player/lady/13.html
14,本田小百合,JSA,1978-10-03,,1992-04-01,1993-04-01,1999-04-01,2004-05-19,2012-09-26,2025-05-10,,,,,,https://www.shogi.or.jp/player/lady/14.html
15,久津知子,JSA,1972-11-23,,1992-10-01,1994-04-01,2001-04-01,2016-06-29,2023-04-01,,,,,2018-03-31,,https://www.shogi.or.jp/player/lady/15.html
16,矢内理絵子,JSA,1980-01-10,,1993-04-01,1995-04-01,1995-07-10,1997-04-01,1997-10-27,2004-08-03,2014-02-21,,,,,https://www.shogi.or.jp/player/lady/16.html
17,千葉涼子,JSA,1980-04-21,,1994-10-01,1996-04-01,1996-10-21,1998-10-16,2002-04-25,2011-04-21,2026-02-20,,,,,https://www.shogi.or.jp/player/lady/17.html
18,伊藤明日香,JSA,1982-03-16,,1995-04-01,2005-04-01,2009-04-01,,,,,,,2009-03-31,,https://www.shogi.or.jp/player/lady/18.html
19,竹部さゆり,JSA,1978-06-04,,1995-10-01,1996-04-01,1996-10-19,1997-04-01,2003-05-20,2019-01-16,,,,,,https://www.shogi.or.jp/player/lady/19.html
20,早水千紗,JSA,1982-07-20,,1996-10-01,1997-10-01,2000-04-01,2005-06-21,2012-12-07,,,,,,,https://www.shogi.or.jp/player/lady/20.html
21,甲斐智美,JSA,1983-05-30,,1997-04-01,1998-04-01,2003-09-01,2006-09-18,2010-04-19,2011-06-29,2014-11-23,,,2023-07-03,,https://www.shogi.or.jp/player/lady/21.html
22,安食総子,JSA,1974-05-02,,1998-04-01,2002-04-01,2003-04-01,2023-04-01,,,,,,2022-07-11,,https://www.shogi.or.jp/player/lady/22.html
23,藤田綾,JSA,1987-03-24,,1998-10-01,2000-04-01,2001-04-01,2016-08-13,,,,,,,,https://www.shogi.or.jp/player/lady/23.html
24,野田澤彩乃,JSA,1984-01-25,,1999-10-01,2003-04-01,2020-04-01,,,,,,,2020-03-31,,https://www.shogi.or.jp/player/lady/24.html
25,山田朱未,JSA,1980-05-18,,2000-04-01,2001-04-01,2003-04-01,2009-03-05,,,,,,,,https://www.shogi.or.jp/player/lady/25.html
26,上田初美,JSA,1988-11-16,,2001-04-01,2002-04-01,2003-04-01,2008-06-30,2011-05-10,2018-05-21,2025-10-02,,,,,https://www.shogi.or.jp/player/lady/26.html
27,坂東香菜子,JSA,1986-03-31,,2001-10-01,,2014-04-01,,,,,,,2014-03-31,,https://www.shogi.or.jp/player/lady/27.html
28,村田智穂,JSA,1984-05-01,,2002-04-01,2003-04-01,2004-04-01,2011-02-10,2024-09-13,,,,,,,https://www.shogi.or.jp/player/lady/28.html
29,鈴木環那,JSA,1987-11-05,,2002-10-01,2004-04-01,2006-04-01,2012-05-10,2020-09-22,,,,,,,https://www.shogi.or.jp/player/lady/29.html
30,中村真梨花,JSA,1987-05-20,,2003-04-01,2004-04-01,2005-04-01,2009-02-25,2015-05-04,2023-05-13,,,,,,https://www.shogi.or.jp/player/lady/30.html
31,貞升南,JSA,1986-04-19,,2003-10-01,2007-04-01,2013-04-01,2021-01-19,,,,,,,,https://www.shogi.or.jp/player/lady/31.html
32,岩根忍,JSA,1981-03-16,,,2004-04-01,2005-04-01,2009-03-09,2016-02-22,,,,,,,https://www.shogi.or.jp/player/lady/32.html
33,福間香奈,JSA,1992-03-02,,2004-10-01,2006-04-01,2007-02-22,2008-09-29,2009-04-01,2010-02-10,2011-10-18,2020-04-01,,,,https://www.shogi.or.jp/player/lady/33.html
34,井道千尋,JSA,1988-05-21,,2005-04-01,2006-04-01,2008-12-03,2017-06-28,,,,,,,,https://www.shogi.or.jp/player/lady/34.html
35,室田伊緒,JSA,1989-05-24,,2005-10-01,2006-04-01,2008-04-01,2014-09-10,2024-07-13,,,,,,,https://www.shogi.or.jp/player/lady/35.html
36,伊奈川愛菓,JSA,1991-03-29,,2006-10-01,2008-04-01,2013-07-12,2021-04-06,,,,,,,,https://www.shogi.or.jp/player/lady/36.html
37,宮宗紫野,JSA,1988-04-23,,2007-04-01,2008-04-01,2009-04-01,2018-07-07,,,,,,,,https://www.shogi.or.jp/player/lady/37.html
38,中村桃子,JSA,1987-11-30,,2007-10-01,2009-03-30,2013-03-14,2021-08-02,,,,,,2024-07-09,,https://www.shogi.or.jp/player/lady/38.html
39,山口恵梨子,JSA,1991-10-12,,2008-04-01,2009-03-25,2010-04-01,2016-05-25,2024-01-31,,,,,,,https://www.shogi.or.jp/player/lady/39.html
40,香川愛生,JSA,1993-04-16,,2008-10-01,2009-07-25,2012-11-28,2013-08-29,2013-10-23,2021-01-21,,,,,,https://www.shogi.or.jp/player/lady/40.html
41,渡辺弥生,JSA,1979-09-02,,2009-04-01,2011-03-03,2013-08-02,2023-03-20,,,,,,,,https://www.shogi.or.jp/player/lady/41.html
42,室谷由紀,JSA,1993-03-06,2009-10-01,2010-07-17,2010-07-17,2011-04-01,2015-08-25,2019-12-27,,,,,,,https://www.shogi.or.jp/player/lady/42.html
43,北尾まどか,JSA,1980-01-21,,2000-10-01,2001-04-01,2003-04-01,2013-08-17,2026-04-01,,,,,2023-07-10,,https://www.shogi.or.jp/player/lady/43.html
44,長谷川優貴,JSA,1995-09-13,,2011-10-01,,2011-10-29,2012-02-02,2025-01-23,,,,,,,https://www.shogi.or.jp/player/lady/44.html
45,竹俣紅,JSA,1998-06-27,,2012-10-01,2015-07-01,2016-04-01,,,,,,,2019-03-31,,
46,北村桂香,JSA,1995-11-14,2013-04-01,2013-06-24,2014-04-01,2015-06-26,2023-01-18,,,,,,,,https://www.shogi.or.jp/player/lady/46.html
47,相川春香,JSA,1994-04-18,2011-10-01,2013-08-17,2015-02-24,2015-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/47.html
48,飯野愛,JSA,1986-11-17,,2013-10-01,2014-05-09,2018-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/48.html
49,山根ことみ,JSA,1998-03-09,2013-10-01,2014-05-24,2014-06-26,2015-04-01,2019-10-23,2023-11-24,,,,,,,https://www.shogi.or.jp/player/lady/49.html
50,和田あき,JSA,1997-11-14,2014-04-01,2014-08-09,,2014-11-06,2023-06-05,,,,,,,,https://www.shogi.or.jp/player/lady/50.html
51,塚田恵梨花,JSA,1998-08-27,,2014-10-01,2017-06-23,2019-04-01,2023-05-08,,,,,,,,https://www.shogi.or.jp/player/lady/51.html
52,伊藤沙恵,JSA,1993-10-06,,,,2014-10-01,2015-09-11,2019-04-26,2023-04-18,,,,,,https://www.shogi.or.jp/player/lady/52.html
53,中澤沙耶,JSA,1996-05-14,,2015-04-01,2015-06-20,2016-04-01,2022-05-07,,,,,,,,https://www.shogi.or.jp/player/lady/53.html
54,高浜愛子,JSA,1984-10-02,2014-04-01,2016-02-05,2021-09-17,2024-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/54.html
55,山口絵美菜,JSA,1994-05-04,2014-10-01,2016-08-13,,,,,,,,,2022-3-30,,
56,川又咲紀,JSA,1996-04-28,2016-02-22,2016-04-27,2016-07-04,2017-04-01,2025-10-28,,,,,,,,https://www.shogi.or.jp/player/lady/56.html
57,石本さくら,JSA,1999-01-27,,2016-09-01,2017-02-20,2017-03-09,2020-12-14,,,,,,,,https://www.shogi.or.jp/player/lady/57.html
58,頼本奈菜,JSA,1997-03-12,,2017-02-01,2017-03-15,2019-04-01,2025-05-07,,,,,,,,https://www.shogi.or.jp/player/lady/58.html
59,カロリーナ,JSA,1991-06-17,2015-10-01,2017-02-20,2017-04-01,2021-04-01,2026-04-01,,,,,,2023-03-31,,https://www.shogi.or.jp/player/lady/59.html
60,武富礼衣,JSA,1999-05-25,2016-05-25,2018-02-07,,2018-03-09,2025-05-07,,,,,,,,https://www.shogi.or.jp/player/lady/60.html
61,小高佐季子,JSA,2002-06-04,2017-06-20,2018-02-07,2019-10-14,2021-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/61.html
62,水町みゆ,JSA,2001-04-21,,2018-05-01,2019-01-18,2020-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/62.html
63,藤井奈々,JSA,1998-03-31,2017-02-20,2018-06-06,2018-12-27,2020-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/63.html
64,加藤圭,JSA,1991-08-18,2018-02-01,2018-06-21,2019-10-11,2020-03-16,2021-04-02,,,,,,,,https://www.shogi.or.jp/player/lady/64.html
65,加藤結李愛,JSA,2003-02-15,2018-04-01,2018-07-07,2019-06-13,2019-08-25,2024-07-13,,,,,,,,https://www.shogi.or.jp/player/lady/65.html
66,脇田菜々子,JSA,1997-03-07,,2018-11-01,2019-02-06,2020-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/66.html
67,加藤桃子,JSA,1995-03-09,,,,,,2019-04-01,2023-07-03,,,,,,https://www.shogi.or.jp/player/lady/67.html
68,山口仁子梨,JSA,2002-09-17,,2019-10-01,2024-07-02,,,,,,,,,,https://www.shogi.or.jp/player/lady/68.html
69,和田はな,JSA,2002-01-14,,2020-09-01,2021-05-28,2026-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/69.html
70,野原未蘭,JSA,2003-08-04,,2020-09-01,2021-01-18,2021-08-03,2024-12-13,,,,,,,,https://www.shogi.or.jp/player/lady/70.html
71,内山あや,JSA,2004-05-22,,2020-12-01,2022-04-01,2023-03-09,2026-02-03,,,,,,,,https://www.shogi.or.jp/player/lady/71.html
72,山口稀良莉,JSA,2005-01-11,,2020-12-01,2021-09-22,2025-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/72.html
73,西山朋佳,JSA,1995-06-27,,,,,,2021-04-01,2022-06-13,2023-10-17,,,,,https://www.shogi.or.jp/player/lady/73.html
74,大島綾華,JSA,2003-01-31,,2021-05-01,2021-06-26,2022-04-01,2024-03-04,,,,,,,,https://www.shogi.or.jp/player/lady/74.html
75,佐々木海法,JSA,2005-03-31,,2021-12-01,2022-02-07,2024-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/75.html
76,岩佐美帆子,JSA,2005-08-15,,2022-02-01,2023-04-01,2026-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/76.html
77,榊菜吟,JSA,2003-11-12,,2022-05-01,2026-04-01,,,,,,,,,,https://www.shogi.or.jp/player/lady/77.html
78,鎌田美礼,JSA,2008-06-24,,2022-05-01,,,,,,,,,,,https://www.shogi.or.jp/player/lady/78.html
79,木村朱里,JSA,2008-07-11,,2022-06-01,2023-01-26,2024-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/79.html
80,梅津美琴,JSA,2007-09-01,,2022-07-01,2024-04-01,2025-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/80.html
81,松下舞琳,JSA,2006-10-25,,2022-08-01,2022-10-19,2023-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/81.html
82,久保翔子,JSA,2006-01-12,,2022-10-01,2024-07-08,,,,,,,,,,https://www.shogi.or.jp/player/lady/82.html
83,今井絢,JSA,2001-10-25,,,2023-02-01,2023-08-20,,,,,,,,,https://www.shogi.or.jp/player/lady/83.html
84,宮澤紗希,JSA,2002-01-26,,2023-07-01,2024-01-25,2025-03-04,,,,,,,,,https://www.shogi.or.jp/player/lady/84.html
85,森本理子,JSA,2003-04-24,,2023-09-01,2025-04-01,,,,,,,,,,https://www.shogi.or.jp/player/lady/85.html
86,砂原奏,JSA,2006-12-23,,2023-09-01,,,,,,,,,,,https://www.shogi.or.jp/player/lady/86.html
87,崎原知宙,JSA,2001-08-29,,2023-11-01,2024-02-29,,,,,,,,,,https://www.shogi.or.jp/player/lady/87.html
88,伊藤真央,JSA,2009-06-03,,2023-11-01,,,,,,,,,,,https://www.shogi.or.jp/player/lady/88.html
89,竹内優月,JSA,2011-01-05,,2024-03-01,,,,,,,,,,,https://www.shogi.or.jp/player/lady/89.html
90,岩崎夏子,JSA,2011-07-20,,2024-04-01,2025-09-29,2026-03-02,,,,,,,,,https://www.shogi.or.jp/player/lady/90.html
91,中七海,JSA,1998-08-07,,,,,,2024-11-01,,,,,,,https://www.shogi.or.jp/player/lady/91.html
92,八木日和,JSA,2008-09-10,,2025-01-01,2026-04-01,,,,,,,,,,https://www.shogi.or.jp/player/lady/92.html
1,蛸島彰子,LPSA,1946-03-19,,,,,,1974-11-03,1976-11-26,1988-11-17,2017-05-21,,2018-02-16,,https://joshi-shogi.com/11500/
2,多田佳子,LPSA,1942-02-07,,,,,1974-10-31,1989-03-15,2005-04-01,,,,2004-10-01,,
3,山下カズ子,LPSA,1946-12-08,,,1972-04-01,1974-10-31,,1977-11-15,1980-02-08,1988-11-17,2024-09-01,,2012-03-31,,https://joshi-shogi.com/11502/
4,寺下紀子,LPSA,1940-06-20,,,,1974-10-31,1974-11-01,1985-05-01,1993-11-01,,,,1985-05-01,,https://joshi-shogi.com/11505/
5,藤森奈津子,LPSA,1961-08-02,,1979-01-01,1980-02-01,1980-02-01,1989-05-22,2000-04-01,2010-04-01,,,,2010-03-31,,https://joshi-shogi.com/11509/
6,神田真由美,LPSA,1957-10-11,,1979-11-01,1981-04-01,1989-03-01,2009-04-01,,,,,,2009-03-31,,https://joshi-shogi.com/11507/
8,鹿野圭生,LPSA,1961-11-01,1987-04-01,,1989-04-01,1992-12-01,2011-04-26,2024-09-01,,,,,2017-03-31,,https://joshi-shogi.com/11514/
9,大庭美樹,LPSA,1971-01-12,,1990-04-01,1996-04-01,2005-06-18,2024-09-01,,,,,,2020-03-31,,https://joshi-shogi.com/11516/
10,石橋幸緒,LPSA,1980-11-25,,1993-10-01,1995-04-01,1996-04-01,1996-09-01,1999-06-29,2004-10-08,,,,2014-01-31,,
11,中倉彰子,LPSA,1977-03-02,,1994-04-01,2000-04-01,2002-04-01,2017-04-01,,,,,,2015-03-31,,https://joshi-shogi.com/11529/
12,中倉宏美,LPSA,1979-01-26,,1995-10-01,1996-04-01,2001-04-01,2009-01-21,,,,,,,,https://joshi-shogi.com/11531/
13,島井咲緒里,LPSA,1980-05-15,,1996-04-01,2001-04-01,2003-04-01,2012-01-16,,,,,,,,https://joshi-shogi.com/11496/
14,藤田麻衣子,LPSA,1973-08-03,,1997-10-01,2004-04-01,,,,,,,,2010-03-31,,
15,大庭美夏,LPSA,1969-08-01,,1998-04-01,2007-04-01,2016-04-01,,,,,,,2006-12-31,,https://joshi-shogi.com/11524/
16,上川香織,LPSA,1974-07-30,,1999-04-01,1999-11-30,2003-04-01,2015-12-10,,,,,,,,https://joshi-shogi.com/11494/
18,船戸陽子,LPSA,1974-04-23,1988-03-17,1990-03-29,1990-03-29,1991-03-11,2000-04-01,2021-01-21,,,,,2024-07-08,,https://joshi-shogi.com/11491/
19,渡部愛,LPSA,1993-06-26,2012-07-01,2013-10-24,2014-03-04,2014-03-13,2017-11-14,2018-06-13,2025-04-11,,,,,,https://joshi-shogi.com/11518/
20,堀彩乃,LPSA,1993-05-28,2016-08-15,2017-03-13,2019-10-10,2024-04-01,,,,,,,,,https://joshi-shogi.com/11521/
21,礒谷真帆,LPSA,2002-03-22,,2018-11-01,,2018-11-20,,,,,,,,,https://joshi-shogi.com/11527/
22,田中沙紀,LPSA,1994-11-18,2018-06-01,2021-09-01,2022-07-11,,,,,,,,,,https://joshi-shogi.com/18095/
23,磯谷祐維,LPSA,2003-01-15,,2023-09-01,2023-11-17,2024-01-03,,,,,,,,,https://joshi-shogi.com/25203/
0,中井広恵,フリー,1969-06-24,,1981-04-01,,1983-03-10,1983-04-01,1986-04-01,1989-04-01,1992-04-01,2002-11-25,,,,https://www.shikoku-np.co.jp/national/culture_entertainment/20140124000412